timestamp,distance,temperature,brightness
306261,4095,warm,73
306833,4095,warm,73
307970,4095,warm,73
308782,4095,warm,73
309605,4095,warm,73
310437,4095,warm,73
311246,4095,warm,73
312065,4095,warm,73
312886,4095,warm,73
313708,4095,warm,73
314524,4095,warm,73
315348,4095,warm,73
315960,4095,warm,73
316534,4095,warm,73
317117,48,cool,227
317799,64,cool,227
318372,4095,warm,73
318957,4095,warm,73
319640,4095,warm,73
320262,4095,warm,73
320877,4095,warm,73
321490,4095,warm,73
322096,47,cool,227
322720,4095,warm,73
323303,4095,warm,73
323946,4095,warm,73
324559,4095,warm,73
325144,4095,warm,73
325788,4095,warm,73
326401,4095,warm,73
326975,4095,warm,73
327558,4095,warm,73
328131,4095,warm,73
328857,4095,warm,73
329471,4095,warm,73
330047,4095,warm,73
330625,4095,warm,73
331327,4095,warm,73
331932,4095,warm,73
332504,4095,warm,73
333100,4095,warm,73
333772,4095,warm,73
334394,4095,warm,73
334967,42,cool,227
335550,49,cool,227
336234,4095,warm,73
336816,4095,warm,73
337388,4095,warm,73
338071,4095,warm,73
338693,4095,warm,73
339305,4095,warm,73
339918,4095,warm,73
340501,4095,warm,73
341073,4095,warm,73
341765,4095,warm,73
342379,4095,warm,73
342992,4095,warm,73
343616,4095,warm,73
344219,4095,warm,73
344831,4095,warm,73
345403,4095,warm,73
346065,4095,warm,73
346680,4095,warm,73
347262,4095,warm,73
347919,4095,warm,73
348524,4095,warm,73
349106,52,cool,227
349749,4095,warm,73
350342,4095,warm,73
350914,4095,warm,73
351596,4095,warm,73
352168,4095,warm,73
352820,4095,warm,73
353398,4095,warm,73
354051,4095,warm,73
354633,4095,warm,73
355215,4095,warm,73
355898,4095,warm,73
356504,4095,warm,73
357137,4095,warm,73
357739,4095,warm,73
358321,4095,warm,73
358963,4095,warm,73
359536,4095,warm,73
360108,4095,warm,73
360810,4095,warm,73
361422,4095,warm,73
361994,4095,warm,73
362577,4095,warm,73
363269,4095,warm,73
363882,4095,warm,73
364454,4095,warm,73
365026,4095,warm,73
365599,4095,warm,73
366172,4095,warm,73
366744,4095,warm,73
367328,4095,warm,73
367975,4095,warm,73
368588,4095,warm,73
369176,4095,warm,73
369829,4095,warm,73
370441,4095,warm,73
371019,4095,warm,73
371591,4095,warm,73
372273,4095,warm,73
372897,4095,warm,73
373471,4095,warm,73
374043,4095,warm,73
374626,4095,warm,73
375198,50,cool,227
375977,45,cool,227
376584,64,cool,227
